card_id,iteration,games,wins,win_rate,avg_game_len,adjustment
imlerith,1,40,26,0.65,14.375,-1
fire_elemental,1,33,21,0.6363636363636364,14.575757575757576,-1
cockatrice,1,42,23,0.5476190476190477,14.214285714285714,0
harpy,1,15,8,0.5333333333333333,13.933333333333334,0
vampire_ekimmara,1,16,10,0.625,14.75,-1
vampire_katakan,1,24,17,0.7083333333333334,14.875,-1
frightener,1,32,21,0.65625,14.0,-1
nausicaa_cavalry_rider,1,63,25,0.3968253968253968,13.063492063492063,1
vreemde,1,24,7,0.2916666666666667,13.416666666666666,1
etolian_auxiliary_archers,1,43,22,0.5116279069767442,13.441860465116278,0
black_infantry_archer,1,59,21,0.3559322033898305,13.322033898305085,1
dethmold,1,21,12,0.5714285714285714,13.476190476190476,0
vrihedd_brigade_recruit,1,20,15,0.75,13.0,-2
barclay_els,1,24,11,0.4583333333333333,13.333333333333332,0
havekar_smuggler2,1,29,22,0.7586206896551724,13.379310344827585,-2
havekar_smuggler1,1,49,30,0.6122448979591837,13.510204081632653,-1
ciaran_aep_easnillien,1,27,16,0.5925925925925926,13.592592592592592,0
havekar_healer,1,53,27,0.5094339622641509,13.169811320754716,0
filavandrel_aen_fidhail,1,26,13,0.5,12.653846153846155,0
earth_elemental,1,18,10,0.5555555555555556,13.833333333333332,0
crone_weavess,1,25,13,0.52,14.68,0
zoltan,1,92,46,0.5,13.282608695652174,0
sweers,1,18,8,0.4444444444444444,13.0,0
rainfarn,1,29,14,0.4827586206896552,13.275862068965518,0
tibor_eggebracht,1,37,15,0.40540540540540543,13.486486486486488,0
cynthia,1,19,6,0.3157894736842105,13.63157894736842,1
blue_stripes_commando,1,65,32,0.49230769230769234,13.353846153846154,0
ves,1,24,9,0.375,13.291666666666666,1
iorveth,1,24,9,0.375,13.458333333333332,1
kayran,1,24,15,0.625,14.041666666666666,-1
ice_giant,1,22,13,0.5909090909090909,14.090909090909092,0
arachas1,1,22,14,0.6363636363636364,14.272727272727273,-1
leshen,1,27,14,0.5185185185185185,14.481481481481481,0
elven_skirmisher2,1,24,13,0.5416666666666666,13.833333333333332,0
